Controller Name,VAV Box ID.,System Name (Served By),Building,Area Served,Location,Public Space,Box Size (Height in.),Box Size (Width in.),Controller Part,Damper Type,Fan Type,Reheat Type,Cooling Max CFM,Cooling Min CFM,Heating Max CFM,Heating Min CFM,Absolute Min CFM,Occ Sensor Ena,Room Rh,Room CO2,Override Time (h),Reheat On Warmup,Fan On Warmup,Network ID,BACnet Object ID,BACnet Name,Box Coeff
VAV-01-14,45305,AHU-01-01,First North,Room 1-135P,Clinic 1-135P,FALSE,8,0,SXWRPV5A10001,Round,None,3 Stage EH,620,200,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_14,904
VAV-01-15,45306,AHU-01-01,First North,Room 1-135B,Conference 1-135B,FALSE,8,0,SXWRPV4A10001,Round,None,SCR EH,790,200,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_15,904
VAV-01-16,45307,AHU-01-01,First North,Room 1-134,Resource 1-134,FALSE,8,0,SXWRPV5A10001,Round,None,2 Stage EH,560,150,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_16,904
VAV-01-17A,,AHU-01-01,First North,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV4A10001,Round,None,SCR EH,1250,350,0,500,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_17A,1436
VAV-01-17B,,AHU-01-01,First North,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV5A10001,Round,None,3 Stage EH,1050,300,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_17B,1436
VAV-01-17C,,AHU-01-04,First South,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV5A10001,Round,None,3 Stage EH,1050,300,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_17C,1436
VAV-01-17D,,AHU-01-04,First South,Room 1-100,Lobby 1-100,TRUE,10,0,SXWRPV4A10001,Round,None,SCR EH,1250,350,0,500,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_17D,1436
VAV-01-18,45309,AHU-01-04,First South,Room 1-101,Music 1-101,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1265,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_18,1436
VAV-01-19,45310,AHU-01-04,First South,Room 1-103,Classroom 1-103,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1315,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_19,1436
VAV-01-20,45311,AHU-01-04,First South,Room 1-104,Classroom 1-104,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1265,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_20,1436
VAV-01-21,45312,AHU-01-04,First South,Room 1-105,Classroom 1-105,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1220,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_21,1436
VAV-01-22,45313,AHU-01-04,First South,Room 1-106,Classroom 1-106,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1145,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_22,1436
VAV-01-23,45314,AHU-01-04,First South,Room 1-109,Classroom 1-109,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1145,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_23,1436
VAV-01-24,45315,AHU-01-04,First South,Room 1-112,Classroom 1-112,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1065,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_24,1436
VAV-01-25,45316,AHU-01-04,First South,Room 1-116,Classroom 1-116,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1245,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_25,1436
VAV-01-26,45317,AHU-01-04,First South,Room 1-115,Classroom 1-115,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1065,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_26,1436
VAV-01-27,45318,AHU-01-04,First South,Room 1-102B,Media Dir. Office 1-102B,FALSE,8,0,SXWRPV5A10001,Round,None,2 Stage EH,615,200,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_27,904
VAV-01-28,45319,AHU-01-04,First South,Room 1-102E,Closed Circuit T.V. 1-102E,FALSE,10,0,SXWRPV5A10001,Round,None,3 Stage EH,930,250,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_28,1436
VAV-01-29,45320,AHU-01-04,First South,Room 1-102,Reading Room/Stacks 1-102,TRUE,8,0,SXWRPV5A10001,Round,None,3 Stage EH,700,200,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_29,904
VAV-01-30,45321,AHU-01-04,First South,Room 1-102,Reading Room/Stacks 1-102,TRUE,8,0,SXWRPV5A10001,Round,None,3 Stage EH,700,200,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_30,904
VAV-01-31,45322,AHU-01-04,First South,Room 1-102,Reading Room/Stacks 1-102,TRUE,10,0,SXWRPV5A10001,Round,None,3 Stage EH,1080,300,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_31,1436
VAV-01-32,,AHU-01-04,First South,Room 1-111,Comm. 1-111,FALSE,6,0,SXWRPV5A10001,Round,None,None,400,100,0,100,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_32,448
VAV-01-33,,AHU-01-01,First North,Room 1-141,Comm. 1-123,FALSE,6,0,SXWRPV5A10001,Round,None,None,400,100,0,100,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,First _VAV 1_33,448
VAV-02-01 ,45323,AHU-02-01,Second North,Room 1-230,Classroom 1-230,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1175,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_01 ,1436
VAV-02-02 ,45324,AHU-02-01,Second North,Room 1-232,Classroom 1-232,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1205,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_02 ,1436
VAV-02-03 ,45325,AHU-02-01,Second North,Room 1-236,Classroom 1-236,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1140,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_03 ,1436
VAV-02-04 ,45326,AHU-02-01,Second North,Room 1-237,Classroom 1-237,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1170,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_04 ,1436
VAV-02-05 ,45327,AHU-02-01,Second North,Room 1-238,Classroom 1-238,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1220,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_05 ,1436
VAV-02-06 ,45328,AHU-02-01,Second North,Room 1-241,Classroom 1-241,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1220,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_06 ,1436
VAV-02-07 ,45329,AHU-02-01,Second North,Room 1-244,Classroom 1-244,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1225,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_07 ,1436
VAV-02-08 ,45330,AHU-02-01,Second North,Room 1-246,Classroom 1-246,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1200,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_08 ,1436
VAV-02-09 ,45331,AHU-02-01,Second North,Room 1-248,Classroom 1-248,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1200,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_09 ,1436
VAV-02-10,45332,AHU-02-01,Second North,Room 1-249,ESE Resource 1-249,FALSE,8,0,SXWRPV5A10001,Round,None,2 Stage EH,580,150,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_10,904
VAV-02-11,45333,AHU-02-01,Second North,Room 1-245,Electrical 1-245,FALSE,8,0,SXWRPV4A10001,Round,None,SCR EH,790,200,0,500,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_11,904
VAV-02-12,45334,AHU-02-01,Second North,Room 1-233,Classroom 1-233,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1190,300,0,800,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_12,1436
VAV-02-13,45335,AHU-02-01,Second North,Room 1-231,Classroom 1-231,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1000,250,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_13,1436
VAV-02-14,45336,AHU-02-01,Second North,Room 1-251,Corridor 1-251,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,250,100,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_14,448
VAV-02-15,45337,AHU-02-02,Second South,Room 1-228,Classroom 1-228,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1080,300,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_15,1436
VAV-02-16,45338,AHU-02-02,Second South,Room 1-200,Lobby 1-200,TRUE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,300,100,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_16,448
VAV-02-17,45339,AHU-02-02,Second South,Room 1-225,Classroom 1-225,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1125,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_17,1436
VAV-02-18,45340,AHU-02-02,Second South,Room 1-223,Skills Lab 1-223,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,950,250,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_18,1436
VAV-02-19,45341,AHU-02-02,Second South,Room 1-203,Resource 1-203,FALSE,6,0,SXWRPV5A10001,Round,None,1 Stage EH,480,150,0,300,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_19,448
VAV-02-20,45342,AHU-02-02,Second South,Room 1-204,Classroom 1-204,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1310,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_20,1436
VAV-02-21,45343,AHU-02-02,Second South,Room 1-208,Classroom 1-208,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1310,350,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_21,1436
VAV-02-22,45344,AHU-02-02,Second South,Room 1-209,Classroom 1-209,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1145,300,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_22,1436
VAV-02-23,45345,AHU-02-02,Second South,Room 1-212,Classroom 1-212,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1195,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_23,1436
VAV-02-24,45346,AHU-02-02,Second South,Room 1-216,Classroom 1-216,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1195,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_24,1436
VAV-02-25,45347,AHU-02-02,Second South,Room 1-219,Classroom 1-219,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1130,300,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_25,1436
VAV-02-26,45348,AHU-02-02,Second South,Room 1-249,Corridor 1-249,TRUE,4,0,SXWRPV5A10001,Round,None,1 Stage EH,150,50,0,100,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_26,273
VAV-02-27,45349,AHU-02-02,Second South,Room 1-248,Corridor 1-248,TRUE,10,0,SXWRPV5A10001,Round,None,2 Stage EH,1110,300,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_27,1436
VAV-02-28,45350,AHU-02-02,Second South,Room 1-220,Classroom 1-220,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1160,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_28,1436
VAV-02-29,45351,AHU-02-02,Second South,Room 1-224,Classroom 1-224,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1110,300,0,700,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_29,1436
VAV-02-30,,AHU-02-02,Second South,Room 1-226,Classroom 1-226,FALSE,10,0,SXWRPV4A10001,Round,None,SCR EH,1090,300,0,600,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_30,1436
VAV-02-31,,AHU-02-01,Second North,Room 1-252,Resource 1-252,FALSE,8,0,SXWRPV5A10001,Round,None,1 Stage EH,540,150,0,400,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_31,904
VAV-02-32,,AHU-02-02,Second South,Room 1-213A,Systems 1-213A,FALSE,8,0,SXWRPV5A10001,Round,None,None,800,200,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_32,904
VAV-02-33,,AHU-02-01,Second North,Room 1- 240,Systems 1- 240,FALSE,8,0,SXWRPV5A10001,Round,None,None,800,200,0,200,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,1,0,Second_VAV 2_33,904
